2024-01-22;Jesaja 45,8;Träufelt, ihr Himmel, von oben, und ihr Wolken, regnet Gerechtigkeit! Die Erde tue sich auf und bringe Heil, und Gerechtigkeit wachse mit auf! Ich, der HERR, erschaffe es.
2024-01-23;Psalm 25,11;Um deines Namens willen, HERR, vergib mir meine Schuld, die da groß ist!
2024-01-24;Psalm 102,27;Himmel und Erde werden vergehen, du aber bleibst.
2024-01-25;Psalm 89,16;Wohl dem Volk, das jauchzen kann! HERR, sie werden im Licht deines Antlitzes wandeln.
2024-01-26;Psalm 16,11;Du tust mir kund den Weg zum Leben.
2024-01-27;1. Könige 3,11-12;Gott sprach zu Salomo: Weil du weder um langes Leben bittest noch um Reichtum noch um deiner Feinde Tod, sondern um Verstand, auf das Recht zu hören, siehe, so tue ich nach deinen Worten.
2024-01-28;Psalm 86,9;Alle Völker, die du gemacht hast, werden kommen und vor dir anbeten, Herr, und deinen Namen ehren.
2024-01-29;1. Könige 8,60;Alle Völker auf Erden sollen erkennen, dass der HERR Gott ist und sonst keiner mehr!
2024-01-30;1. Samuel 17,18;Isai sprach zu David: Sieh nach deinen Brüdern, ob’s ihnen gut geht.
2024-01-31;Jeremia 3,23;Wahrlich, es hat Israel keine andere Hilfe als am HERRN, unserm Gott.
2024-02-01;Psalm 14,2;Der HERR schaut vom Himmel auf die Menschenkinder, dass er sehe, ob jemand klug sei und nach Gott frage.
2024-02-02;Jesaja 2,3;Viele Völker werden hingehen und sagen: Kommt, lasst uns hinaufgehen zum Berg des HERRN, zum Hause des Gottes Jakobs, dass er uns lehre seine Wege und wir wandeln auf seinen Steigen!
2024-02-03;Psalm 32,8;Ich will dich mit meinen Augen leiten.
2024-02-04;Jesaja 50,8;"Er ist nahe, der mich gerecht spricht; wer will mit mir rechten?"
2024-02-05;Jesaja 30,18;Der HERR harrt darauf, dass er euch gnädig sei.
2024-02-06;2. Mose 19,6;/Der HERR spricht:/ Ihr sollt mir ein Königreich von Priestern und ein heiliges Volk sein.
2024-02-07;Psalm 118,18;"Der HERR züchtigt mich schwer; aber er gibt mich dem Tode nicht preis."
2024-02-08;Klagelieder 3,26;Es ist ein köstlich Ding, geduldig sein und auf die Hilfe des HERRN hoffen.
2024-02-09;Jesaja 40,2;Redet mit Jerusalem freundlich und predigt ihr, dass ihre Knechtschaft ein Ende hat, dass ihre Schuld vergeben ist.
2024-02-10;Psalm 71,15;Mein Mund soll verkündigen deine Gerechtigkeit, täglich deine Wohltaten, die ich nicht zählen kann.
2024-02-11;Haggai 2,5;Mein Geist soll unter euch bleiben. Fürchtet euch nicht!
2024-02-12;Jeremia 29,7;"Suchet der Stadt Bestes und betet für sie zum HERRN; denn wenn’s ihr wohlgeht, so geht’s euch auch wohl."
2024-02-13;3. Mose 22,32;/Der HERR spricht:/ Entweiht nicht meinen heiligen Namen.
2024-02-14;1. Chronik 29,14;Was bin ich? Was ist mein Volk, dass wir freiwillig so viel zu geben vermochten? Von dir ist alles gekommen, und von deiner Hand haben wir dir’s gegeben.
2024-02-15;4. Mose 21,7;Das Volk kam zu Mose, und sie sprachen: Wir haben gesündigt, dass wir gegen den HERRN und gegen dich geredet haben. Bete zum HERRN, damit er uns von den Schlangen befreit. Und Mose betete für das Volk.
2024-02-16;Psalm 90,12;Lehre uns bedenken, dass wir sterben müssen, auf dass wir klug werden.
2024-02-17;Hesekiel 36,9;Ihr Berge Israels, siehe, ich will mich wieder zu euch kehren und euch mein Angesicht zuwenden, dass ihr angebaut und besät werdet.
2024-02-18;Psalm 68,4;Die Gerechten freuen sich und sind fröhlich vor Gott und freuen sich von Herzen.
2024-02-19;Psalm 92,6;HERR, wie sind deine Werke so groß! Deine Gedanken sind sehr tief.
2024-02-20;1. Könige 19,18;/Der HERR sprach zu Elia:/ Ich will übrig lassen siebentausend in Israel, alle Knie, die sich nicht gebeugt haben vor Baal.
2024-02-21;Sprüche 20,9;Wer kann sagen: »Ich habe mein Herz geläutert und bin rein von meiner Sünde«?
2024-02-22;Psalm 100,2;Dienet dem HERRN mit Freuden, kommt vor sein Angesicht mit Frohlocken!
2024-02-23;Psalm 22,2;Mein Gott, mein Gott, warum hast du mich verlassen? Ich schreie, aber meine Hilfe ist ferne.
2024-02-24;Hesekiel 36,11;Ich will euch mehr Gutes tun als je zuvor, und ihr sollt erfahren, dass ich der HERR bin.
2024-02-25;5. Mose 6,6-7;Diese Worte, die ich dir heute gebiete, sollst du zu Herzen nehmen und sollst sie deinen Kindern einschärfen und davon reden.
2024-02-26;2. Chronik 16,9;Des HERRN Augen schauen alle Lande, dass er stärke, die mit ganzem Herzen bei ihm sind.
2024-02-27;Psalm 51,4;Wasche mich rein von meiner Missetat, und reinige mich von meiner Sünde.
2024-02-28;Psalm 7,2;Auf dich, HERR, mein Gott, traue ich! Hilf mir von allen meinen Verfolgern und errette mich.
2024-02-29;Psalm 11,1;Ich traue auf den HERRN. Wie sagt ihr denn zu mir: »Flieh wie ein Vogel auf die Berge!«
2024-03-01;Psalm 63,8;Du bist mein Helfer, und unter dem Schatten deiner Flügel frohlocke ich.
2024-03-02;Psalm 13,2;HERR, wie lange willst du mich so ganz vergessen? Wie lange verbirgst du dein Antlitz vor mir?
2024-03-03;Sprüche 28,13;"Wer seine Missetat leugnet, dem wird’s nicht gelingen; wer sie aber bekennt und lässt, der wird Barmherzigkeit erlangen."
2024-03-04;Joel 4,16;Seinem Volk wird der HERR eine Zuflucht sein und eine Burg den Israeliten.
2024-03-05;Jona 3,9;Wer weiß, ob Gott nicht umkehrt und es ihn reut und er sich abwendet von seinem grimmigen Zorn, dass wir nicht verderben.
2024-03-06;Psalm 121,7;Der HERR behüte dich vor allem Übel, er behüte deine Seele.
2024-03-07;Jesaja 33,5-6;Der HERR hat Zion mit Recht und Gerechtigkeit erfüllt. Und du wirst sichere Zeiten haben: Reichtum an Heil, Weisheit und Klugheit.
2024-03-08;2. Könige 13,23;Der HERR wandte sich Israel wieder zu um seines Bundes willen mit Abraham, Isaak und Jakob und wollte sie nicht verderben, verwarf sie auch nicht von seinem Angesicht bis auf diese Stunde.
2024-03-09;Jeremia 15,18;Warum nimmt mein Schmerz kein Ende und ist meine Wunde unheilbar? Sie will nicht heilen. Wie ein trügerischer Bach, so bist du für mich, Wasser, auf das kein Verlass ist.
2024-03-10;Jesaja 65,19;Ich will mich freuen über mein Volk. Man soll in ihm nicht mehr hören die Stimme des Weinens noch die Stimme des Klagens.
2024-03-11;1. Mose 28,16.17;Als Jakob von seinem Schlaf aufwachte, fürchtete er sich und sprach: Wie heilig ist diese Stätte! Hier ist nichts anderes als Gottes Haus, und hier ist die Pforte des Himmels.
2024-03-12;Sprüche 3,29;Trachte nicht nach Bösem gegen deinen Nächsten, der arglos bei dir wohnt.
2024-03-13;1. Mose 18,19;/Der HERR sprach:/ Dazu habe ich Abraham auserkoren, dass er seinen Kindern befehle und seinem Hause nach ihm, dass sie des HERRN Wege halten und tun, was recht und gut ist.
2024-03-14;Jesaja 30,19;Der HERR wird dir gnädig sein, wenn du rufst. Er wird dir antworten, sobald er’s hört.
2024-03-15;5. Mose 14,1;Ihr seid Kinder des HERRN, eures Gottes.
2024-03-16;Psalm 105,1;"Danket dem HERRN und rufet an seinen Namen; verkündigt sein Tun unter den Völkern!"
2024-03-17;Jesaja 44,3;Ich will Wasser gießen auf das Durstige und Ströme auf das Dürre: Ich will meinen Geist auf deine Kinder gießen und meinen Segen auf deine Nachkommen.
2024-03-18;Jesaja 10,1.2;Weh denen, die unrechtes Urteil schreiben, um die Sache der Armen zu beugen und Gewalt zu üben am Recht der Elenden!
2024-03-19;5. Mose 33,27;Zuflucht ist bei dem Gott, der von alters her ist.
2024-03-20;Psalm 116,12;Wie soll ich dem HERRN vergelten all seine Wohltat, die er an mir tut?
2024-03-21;Daniel 2,21;Gott gibt den Weisen ihre Weisheit und den Verständigen ihren Verstand.
2024-03-22;Psalm 102,26;Du hast vorzeiten die Erde gegründet, und die Himmel sind deiner Hände Werk.
2024-03-23;Jeremia 16,20;Wie kann ein Mensch sich Götter machen?
2024-03-24;1. Chronik 17,27;Was du, HERR, segnest, das ist gesegnet ewiglich.
2024-03-25;2. Chronik 18,13;So wahr der HERR lebt: Was mein Gott sagen wird, das will ich reden.
2024-03-26;Jesaja 43,16;Der HERR macht im Meer einen Weg und in starken Wassern Bahn.
2024-03-27;Psalm 109,31;Der HERR steht dem Armen zur Rechten, dass er ihm helfe von denen, die ihn verurteilen.
2024-03-28;Sprüche 14,34;"Gerechtigkeit erhöht ein Volk; aber die Sünde ist der Leute Verderben."
2024-03-29;1. Mose 35,15;Jakob nannte die Stätte, da Gott mit ihm geredet hatte, Bethel, - Haus Gottes.
2024-03-30;Jesaja 30,18;Der HERR macht sich auf, dass er sich euer erbarme.
2024-03-31;Jesaja 42,16;Ich will die Finsternis vor ihnen her zum Licht machen und das Höckerige zur Ebene.
2024-04-01;Jesaja 1,17;Lernt Gutes tun! Trachtet nach Recht, helft den Unterdrückten!
2024-04-02;Jesaja 57,15;Ich wohne in der Höhe und im Heiligtum und bei denen, die zerschlagenen und demütigen Geistes sind, auf dass ich erquicke den Geist der Gedemütigten und das Herz der Zerschlagenen.
2024-04-03;Hesekiel 34,27;Sie sollen erfahren, dass ich der HERR bin, wenn ich ihr Joch zerbrochen und sie errettet habe.
2024-04-04;Jesaja 45,6-7;Ich bin der HERR, und sonst keiner mehr, der ich das Licht mache und schaffe die Finsternis, der ich Frieden gebe und schaffe Unheil. Ich bin der HERR, der dies alles tut.
2024-04-05;Hesekiel 16,60;Ich will gedenken an meinen Bund, den ich mit dir geschlossen habe zur Zeit deiner Jugend, und will mit dir einen ewigen Bund aufrichten.
2024-04-06;Psalm 35,28;Meine Zunge soll reden von deiner Gerechtigkeit und dich täglich preisen.
2024-04-07;Richter 10,15;"Die Israeliten sprachen zum HERRN: Wir haben gesündigt, mache du es mit uns, wie dir’s gefällt; nur errette uns heute!"
2024-04-08;Psalm 112,1;Wohl dem, der den HERRN fürchtet, der große Freude hat an seinen Geboten!
2024-04-09;Hesekiel 18,23;Meinst du, dass ich Gefallen habe am Tode des Gottlosen, spricht Gott der HERR, und nicht vielmehr daran, dass er sich bekehrt von seinen Wegen und am Leben bleibt?
2024-04-10;Jesaja 43,3;Ich bin der HERR, dein Gott, der Heilige Israels, dein Heiland.
2024-04-11;Jesaja 51,12;Ich, ich bin euer Tröster! Wer bist du denn, dass du dich vor Menschen fürchtest, die doch sterben?
2024-04-12;Hesekiel 16,62;Ich will meinen Bund mit dir aufrichten, sodass du erfahren sollst, dass ich der HERR bin.
2024-04-13;Daniel 6,28;Der lebendige Gott ist ein Retter und Nothelfer.
2024-04-14;Psalm 18,33;Gott rüstet mich mit Kraft.
2024-04-15;Amos 7,2-3;/Amos sprach:/ Ach, HERR, sei gnädig! Wie soll Jakob bestehen? Er ist ja so klein. Da reute es den HERRN. Der HERR sprach: Es soll nicht geschehen!
2024-04-16;Psalm 18,29;Der HERR, mein Gott, macht meine Finsternis licht.
2024-04-17;Psalm 103,1;Lobe den HERRN, meine Seele, und was in mir ist, seinen heiligen Namen!
2024-04-18;Jesaja 12,6;"Jauchze und rühme, die du wohnst auf Zion; denn der Heilige Israels ist groß bei dir!"
2024-04-19;1. Mose 6,22;Noah tat alles, was ihm Gott gebot.
2024-04-20;Jeremia 39,18;Ich will dich entrinnen lassen, dass du nicht durchs Schwert fällst, sondern du sollst dein Leben wie eine Beute davonbringen, weil du mir vertraut hast, spricht der HERR.
2024-04-21;Sprüche 11,13;Wer als Verleumder umhergeht, gibt Vertrauliches preis, wer aber verlässlich ist, behält Geheimnisse für sich.
2024-04-22;Daniel 3,28;Gelobt sei Gott, der seinen Engel gesandt und seine Knechte errettet hat, die ihm vertraut haben.
2024-04-23;Psalm 18,31;Gottes Weg ist vollkommen.
2024-04-24;Jesaja 54,4;Fürchte dich nicht, denn du sollst nicht zuschanden werden.
2024-04-25;Psalm 3,9;Bei dem HERRN findet man Hilfe. Dein Segen komme über dein Volk!
2024-04-26;Prediger 12,13;"Fürchte Gott und halte seine Gebote; denn das gilt für alle Menschen."
2024-04-27;Jeremia 2,35;"Du sprachst: Ich bin unschuldig; der HERR hat ja doch seinen Zorn von mir gewandt. Siehe, ich will dich richten, weil du sprichst: Ich habe nicht gesündigt."
2024-04-28;Psalm 86,11;Erhalte mein Herz bei dem einen, dass ich deinen Namen fürchte.
2024-04-29;Klagelieder 1,18;Gerecht ist er, der HERR, ich aber war widerspenstig gegen sein Wort.
2024-04-30;Psalm 25,6;Gedenke, HERR, an deine Barmherzigkeit und an deine Güte, die von Ewigkeit her gewesen sind.
2024-05-01;Jeremia 30,11;Ich bin bei dir, spricht der HERR, dass ich dir helfe.
2024-05-02;Psalm 81,14;/Der HERR spricht:/ Wenn doch mein Volk mir gehorsam wäre!
2024-05-03;3. Mose 19,14;Du sollst dem Tauben nicht fluchen und sollst vor den Blinden kein Hindernis legen, denn du sollst dich vor deinem Gott fürchten.
2024-05-04;Joel 2,26;Ihr sollt genug zu essen haben und den Namen des HERRN, eures Gottes, preisen.
2024-05-05;Psalm 42,2;Wie der Hirsch schreit nach frischem Wasser, so schreit meine Seele, Gott, zu dir.
2024-05-06;Psalm 27,5;Der HERR deckt mich in seiner Hütte zur bösen Zeit, er birgt mich im Schutz seines Zeltes.
2024-05-07;Psalm 50,2-3;Aus Zion bricht an der schöne Glanz Gottes. Unser Gott kommt und schweiget nicht.
2024-05-08;Psalm 40,4;Der HERR hat mir ein neues Lied in meinen Mund gegeben, zu loben unsern Gott.
2024-05-09;Esra 6,22;Der HERR hatte sie fröhlich gemacht.
2024-05-10;3. Mose 26,9;/Der HERR spricht:/ Ich will mich zu euch wenden und will euch fruchtbar machen und euch mehren und will meinen Bund mit euch halten.
2024-05-11;Hiob 5,18;"Gott verletzt und verbindet; er zerschlägt und seine Hand heilt."
2024-05-12;Psalm 66,10;Gott, du hast uns geprüft und geläutert, wie das Silber geläutert wird.
2024-05-13;Jeremia 31,16;"Lass dein Schreien und Weinen und die Tränen deiner Augen; denn deine Mühe wird belohnt werden, spricht der HERR."
2024-05-14;Esra 8,22;Die Hand unseres Gottes ist zum Besten über allen, die ihn suchen, und seine Stärke und sein Zorn gegen alle, die ihn verlassen.
2024-05-15;Jesaja 33,2;HERR, sei unser Arm alle Morgen, ja, unser Heil zur Zeit der Trübsal!
2024-05-16;Psalm 104,13;Du tränkst die Berge von oben her, du machst das Land voll Früchte, die du schaffest.
2024-05-17;2. Mose 23,9;Einen Fremden sollst du nicht quälen. Denn ihr wisst, wie dem Fremden zumute ist, seid ihr doch selbst Fremde gewesen im Land Ägypten.
2024-05-18;2. Mose 3,7;Der HERR sprach: Ich habe das Elend meines Volks in Ägypten gesehen, und ihr Geschrei über ihre Bedränger habe ich gehört.
2024-05-19;Amos 5,24;Es ströme das Recht wie Wasser und die Gerechtigkeit wie ein nie versiegender Bach.
2024-05-20;Jesaja 66,1;So spricht der HERR: Der Himmel ist mein Thron und die Erde der Schemel meiner Füße! Was ist denn das für ein Haus, das ihr mir bauen könntet?
2024-05-21;Jesaja 27,3;Ich, der HERR, behüte den Weinberg und begieße ihn immer wieder. Damit man ihn nicht verderbe, will ich ihn Tag und Nacht behüten.
2024-05-22;Psalm 111,9;Er sandte Erlösung seinem Volk und gebot, dass sein Bund ewig bleiben soll.
2024-05-23;Jesaja 9,1;Das Volk, das im Finstern wandelt, sieht ein großes Licht, und über denen, die da wohnen im finstern Lande, scheint es hell.
2024-05-24;Josua 24,16;Das sei ferne von uns, dass wir den HERRN verlassen!
2024-05-25;Psalm 41,5;"HERR, sei mir gnädig! Heile mich; denn ich habe an dir gesündigt."
2024-05-26;Psalm 10,14;"HERR, du siehst es ja, denn du schaust das Elend und den Jammer; es steht in deinen Händen."
2024-05-27;Psalm 60,14;Mit Gott wollen wir Taten tun.
2024-05-28;Sprüche 20,12;Ein hörendes Ohr und ein sehendes Auge, die macht beide der HERR.
2024-05-29;5. Mose 32,46.47;/Mose sprach:/ Nehmt zu Herzen alle Worte, die ich euch heute bezeuge. Denn es ist nicht ein leeres Wort an euch, sondern es ist euer Leben.
2024-05-30;Psalm 126,1;Wenn der HERR die Gefangenen Zions erlösen wird, so werden wir sein wie die Träumenden.
2024-05-31;Jesaja 45,24;Alle, die dem HERRN widerstehen, werden zu ihm kommen und beschämt werden.
2024-06-01;1. Samuel 1,15;Ich habe mein Herz vor dem HERRN ausgeschüttet.
2024-06-02;Psalm 23,6;Gutes und Barmherzigkeit werden mir folgen mein Leben lang, und ich werde bleiben im Hause des HERRN immerdar.
2024-06-03;2. Könige 19,15;HERR, du bist allein Gott über alle Königreiche auf Erden, du hast Himmel und Erde gemacht.
2024-06-04;2. Mose 33,14;"Der HERR sprach: Mein Angesicht soll vorangehen; ich will dich zur Ruhe leiten."
2024-06-05;Jona 2,8;Als meine Seele in mir verzagte, gedachte ich an den HERRN, und mein Gebet kam zu dir.
2024-06-06;Jesaja 43,5;So fürchte dich nun nicht, denn ich bin bei dir.
2024-06-07;2. Mose 23,20;/Der HERR spricht:/ Siehe, ich sende einen Engel vor dir her, der dich behüte auf dem Wege und dich bringe an den Ort, den ich bestimmt habe.
2024-06-08;Psalm 27,10;Mein Vater und meine Mutter verlassen mich, aber der HERR nimmt mich auf.
2024-06-09;Hiob 31,4;Sieht Gott nicht meine Wege und zählt alle meine Schritte?
2024-06-10;2. Mose 10,3;Mose und Aaron gingen hinein zum Pharao und sprachen zu ihm: So spricht der HERR: Lass mein Volk ziehen, dass es mir diene!
2024-06-11;Sprüche 12,20;Die zum Frieden raten, haben Freude.
2024-06-12;Psalm 8,7;Du hast den Menschen zum Herrn gemacht über deiner Hände Werk, alles hast du unter seine Füße getan.
2024-06-13;5. Mose 13,1;/Mose sprach:/ Alles, was ich euch gebiete, das sollt ihr halten und danach tun. Du sollst nichts dazutun und nichts davontun.
2024-06-14;Esra 3,11;Das ganze Volk jauchzte laut beim Lobe des HERRN, weil der Grund zum Hause des HERRN gelegt war.
2024-06-15;Hosea 10,12;Säet Gerechtigkeit und erntet nach dem Maße der Liebe!
2024-06-16;Psalm 104,27-28;"Es wartet alles auf dich, HERR, dass du ihnen Speise gebest zu seiner Zeit. Wenn du ihnen gibst, so sammeln sie; wenn du deine Hand auftust, so werden sie mit Gutem gesättigt."
2024-06-17;Psalm 98,1;Singet dem HERRN ein neues Lied, denn er tut Wunder.
2024-06-18;Hesekiel 20,11;Ich gab ihnen meine Gebote und lehrte sie meine Gesetze, durch die der Mensch lebt, der sie hält.
2024-06-19;Jesaja 51,4;Merke auf mich, mein Volk, hört mich, meine Leute! Denn Weisung wird von mir ausgehen, und mein Recht will ich gar bald zum Licht der Völker machen.
2024-06-20;1. Könige 8,61;Euer Herz sei ungeteilt bei dem HERRN, unserm Gott.
2024-06-21;2. Mose 20,13;Du sollst nicht töten.
2024-06-22;Psalm 6,3.4;"HERR, sei mir gnädig, denn ich bin schwach; heile mich, HERR, denn meine Seele ist sehr erschrocken."
2024-06-23;Psalm 22,23;Ich will deinen Namen kundtun meinen Brüdern.
2024-06-24;Psalm 119,77;HERR, lass mir deine Barmherzigkeit widerfahren, dass ich lebe.
2024-06-25;Jesaja 46,12-13;"Hört mir zu, ihr trotzigen Herzen, die ihr ferne seid von der Gerechtigkeit! Ich habe meine Gerechtigkeit nahe gebracht; sie ist nicht ferne."
2024-06-26;Psalm 105,5;Gedenket seiner Wunderwerke, die er getan hat, seiner Zeichen und der Urteile seines Mundes!
2024-06-27;Jesaja 58,1;Erhebe deine Stimme wie eine Posaune und verkündige meinem Volk seine Abtrünnigkeit!
2024-06-28;Psalm 28,7;Auf den HERRN traut mein Herz, und mir ist geholfen. Nun ist mein Herz fröhlich, und ich will ihm danken mit meinem Lied.
2024-06-29;Prediger 12,1;Denk an deinen Schöpfer in deiner Jugend, ehe die bösen Tage kommen und die Jahre sich nahen, da du wirst sagen: »Sie gefallen mir nicht«.
2024-06-30;Hesekiel 11,19;Ich will ihnen ein anderes Herz geben und einen neuen Geist in sie geben.
2024-07-01;Psalm 106,1;"Danket dem HERRN; denn er ist freundlich, und seine Güte währet ewiglich."
2024-07-02;Richter 5,31;Die den HERRN lieb haben, sollen sein, wie die Sonne aufgeht in ihrer Pracht!
2024-07-03;Joel 2,13;Zerreißt eure Herzen und nicht eure Kleider und kehrt um zu dem HERRN, eurem Gott!
2024-07-04;Psalm 41,2;Wohl dem, der sich des Schwachen annimmt! Den wird der HERR erretten zur bösen Zeit.
2024-07-05;Psalm 115,11;Die ihr den HERRN fürchtet, hoffet auf den HERRN!
2024-07-06;Psalm 91,1-2;Wer unter dem Schirm des Höchsten sitzt und unter dem Schatten des Allmächtigen bleibt, der spricht zu dem HERRN: Meine Zuversicht und meine Burg, mein Gott, auf den ich hoffe.
2024-07-07;Hesekiel 18,27;Wenn sich der Ungerechte abkehrt von seiner Ungerechtigkeit, die er getan hat, und übt nun Recht und Gerechtigkeit, der wird sein Leben erhalten.
2024-07-08;5. Mose 11,7;Eure Augen haben die großen Werke des HERRN gesehen, die er getan hat.
2024-07-09;Psalm 67,2;Gott sei uns gnädig und segne uns.
2024-07-10;Jesaja 43,13;"Auch künftig bin ich derselbe, und niemand ist da, der aus meiner Hand erretten kann. Ich wirke; wer will’s wenden?"
2024-07-11;Hosea 2,1;An dem Ort, da zu ihnen gesagt ist: »Ihr seid nicht mein Volk«, wird zu ihnen gesagt werden: »Kinder des lebendigen Gottes!«
2024-07-12;1. Könige 8,56;Es ist nicht eins dahingefallen von allen seinen guten Worten, die der HERR geredet hat durch seinen Knecht Mose.
2024-07-13;Jesaja 41,4;Wer ruft die Geschlechter von Anfang her? Ich bin’s, der HERR, der Erste, und bei den Letzten noch derselbe.
2024-07-14;Psalm 24,1;Die Erde ist des HERRN und was darinnen ist, der Erdkreis und die darauf wohnen.
2024-07-15;Psalm 46,8;Der HERR Zebaoth ist mit uns, der Gott Jakobs ist unser Schutz.
2024-07-16;Jesaja 40,27;Warum sprichst du denn, Jakob, und du, Israel, sagst: »Mein Weg ist dem HERRN verborgen, und mein Recht geht an meinem Gott vorüber«?
2024-07-17;Jeremia 31,33;Das soll der Bund sein, den ich mit dem Hause Israel schließen will nach dieser Zeit, spricht der HERR: Ich will mein Gesetz in ihr Herz geben und in ihren Sinn schreiben, und sie sollen mein Volk sein, und ich will ihr Gott sein.
2024-07-18;Psalm 91,14;/Der HERR spricht:/ Er kennt meinen Namen, darum will ich ihn schützen.
2024-07-19;Jesaja 65,17;Siehe, ich will einen neuen Himmel und eine neue Erde schaffen, dass man der vorigen nicht mehr gedenken wird.
2024-07-20;Jeremia 2,19;Du musst innewerden und erfahren, was es für Jammer und Herzeleid bringt, den HERRN, deinen Gott, zu verlassen und mich nicht zu fürchten.
2024-07-21;Nahum 2,1;Siehe auf den Bergen die Füße eines guten Boten, der da Frieden verkündigt!
2024-07-22;Jeremia 1,19;"Wenn sie auch wider dich streiten, werden sie dir dennoch nichts anhaben können; denn ich bin bei dir, spricht der HERR, dass ich dich errette."
2024-07-23;Psalm 119,24;"HERR, ich habe Freude an deinen Zeugnissen; sie sind meine Ratgeber."
2024-07-24;Jesaja 61,1.2;Der HERR hat mich gesandt, zu trösten alle Trauernden.
2024-07-25;1. Mose 9,13;"Gott sprach: Meinen Bogen habe ich gesetzt in die Wolken; der soll das Zeichen sein des Bundes zwischen mir und der Erde."
2024-07-26;Hiob 12,14;"Siehe, wenn Gott zerbricht, so hilft kein Bauen; wenn er jemand einschließt, kann niemand aufmachen."
2024-07-27;Psalm 9,19;"Der HERR wird den Armen nicht für immer vergessen; die Hoffnung der Elenden wird nicht verloren sein ewiglich."
2024-07-28;Psalm 118,6;"Der HERR ist mit mir, darum fürchte ich mich nicht; was können mir Menschen tun?"
2024-07-29;1. Könige 8,58;Der HERR, unser Gott, neige unser Herz zu ihm, dass wir wandeln in allen seinen Wegen.
2024-07-30;Jesaja 43,20;Ich will in der Wüste Wasser und in der Einöde Ströme geben, zu tränken mein Volk, meine Auserwählten.
2024-07-31;Hesekiel 20,44;Ihr werdet erfahren, dass ich der HERR bin, wenn ich so an euch handle zur Ehre meines Namens und nicht nach euren bösen Wegen und verderblichen Taten.
2024-08-01;Joel 2,11-12;Der Tag des HERRN ist groß und voller Schrecken, wer kann ihn ertragen? Doch auch jetzt noch, spricht der HERR, kehrt um zu mir von ganzem Herzen!
2024-08-02;Psalm 60,4;"Gott, der du die Erde erschüttert und zerrissen hast, heile ihre Risse; denn sie wankt."
2024-08-03;Psalm 9,11;"Auf dich hoffen, die deinen Namen kennen; denn du verlässest nicht, die dich, HERR, suchen."
2024-08-04;Psalm 135,6;Alles, was der HERR will, das tut er im Himmel und auf Erden, im Meer und in allen Tiefen.
2024-08-05;Jesaja 52,12;Der HERR wird vor euch herziehen und der Gott Israels euren Zug beschließen.
2024-08-06;Psalm 63,7;Gott, wenn ich mich zu Bette lege, so denke ich an dich, wenn ich wach liege, sinne ich über dich nach.
2024-08-07;Sprüche 15,33;Die Furcht des HERRN ist Unterweisung zur Weisheit.
